Unnamed: 0_level_0,Active Gross Power,Reactive Gross Power,Exhaust Pressure Turbine CW,Exhaust Pressure Turbine CCW,Unnamed: 5_level_0,Unnamed: 6_level_0,Main Steam Press,Main Steam Temp,Brine Header Press,Brine Header Temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,Separator Temp,Separator Pressure,Steam Flow,WHP,Valve Open,2 Phase line press,2 Phase line temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,Separator Temp,Separator Pressure,Steam Flow,Main Steam Flowrate,Brine Flowrate,Total Flowrate,Injection Press,Injection Flow,Injection Temp,Valve open,WHP,Header Reinjection Pump Temperature,Header Reinjection Pump Pressure,"Opening 
CV-A","Opening 
CV-B",Delta Pressure,Outlet Temp,Opening Brine Dump Valve A,Opening Brine Dump Valve B,Opening Brine Dump Valve A,Opening Brine Dump Valve B,Opening Steam Dump Valve A,Opening Steam Dump Valve B
Unnamed: 0_level_1,MW,MVAR,Bara,Bara,oC,kg/MW,barg,oC,barg,oC,barg,%,barg,oC,barg.1,%.1,barg.1,oC.1,barg.2,%.2,barg.2,oC.2,barg.3,%.3,barg.3,oC.3,oC,barg,kg/s,barg.4,%.4,barg.4,oC.4,barg.5,%.5,barg.5,oC.5,oC.1,barg.1,kg/s.1,kg/s,kg/s,kg/s,bara,kg/s,oC,%,barg.6,oC,Bara,%,%,Barg,oC,%,%,%.1,%.1,%,%
,WT,VART,PT9206,PT9256,TE93X0,,PT2504x,TT2501,PT2503,TT2502,PT2006A,PV2005A,PT2008A,TT2007A,PT2006B,PV2005B,PT2008B,TT2007B,PT2006C,PV2005C,PT2008C,TT2007C,PT2006D,PV2005D,PT2008D,TT2007D,TT2207,PT2208,FT2220,PT2106A,PV2105A,PT2108A,TT2107A,PT2106B,PV2105B,PT2108B,TT2107B,TT2307,PT2308,FT2320,FT2527,FT2505,,PT2702A,FT2703A,TT2704A,PV2705A,PT2703A,TT-2601,PT-2603,PV-2503A,PV-2503B,PV-2503,TE-9124,LV-2227A,LV-2227B,LV-2327A,LV-2327A,PV-2430A,PV-2430A
2025-06-19 01:00:00,34.1591865,2.5561214,0.7452209,0.7526826,16.2346533,4.122448904712808,12.7628872,193.1699176,15.8511473,193.7105532,28.2932464,18.0351268,13.8409156,197.5776841,31.646154,10.1057418,13.6245865,195.6496566,18.3277455,45.0265517,13.9817716,195.8456074,18.8999949,45.0545485,13.9228787,197.3656387,194.7668057,13.1802237,43.68865232019444,3.5282247,9.968485,0,79.1511982,21.9033044,49.4503002,13.4363605,191.3718824,194.6378267,13.0923381,3.1724605506388888,49.09218593238889,91.72731504041666,140.81950097280554,11.6896214,133.10015307711112,95.8233454,14.6059583,6.5053818,87.20739,14.3904656,0.9100093,0.2218222,1.4589125,93.6380556,0.1069952,0.164888,0.517263,0.0848541,0.6245471,1.141853
2025-06-19 02:00:00,34.160366,2.544764,0.7506628,0.7583798,16.4155936,4.187535804277455,12.7923699,193.2871059,16.018576,193.7275762,28.1145419,18.0320815,13.8626242,197.6405875,31.6903737,10.1046852,13.648595,195.7444421,18.3650536,45.0265399,14.0073234,195.9336378,18.9131365,45.0550078,13.9459705,197.4516825,194.8634435,13.2047683,43.38130532922222,3.5495226,9.967606,0,79.2218603,21.9067175,49.6716387,13.4649375,191.4742468,194.7386375,13.1201277,3.3790769978333337,48.80953061719445,94.23822509502777,143.04775571222223,11.9731298,134.60155865275001,95.1287317,14.6060599,6.664382,87.1187778,14.5320728,0.9073899,0.2198029,1.4847757,93.3173974,0.1070221,0.1632418,0.0689427,0.0849622,0.6239361,1.0545111
2025-06-19 03:00:00,34.1573096,3.16937,0.753952,0.7616945,16.3077062,4.125876081331587,12.780077,193.2343866,15.9564111,193.8129652,28.075599,18.0314555,13.8487867,197.5994955,31.7278506,10.1058458,13.6359607,195.6892998,18.3418012,45.0256392,13.9953402,195.8813872,18.9040115,45.05326,13.9328575,197.4029717,194.8172685,13.1934338,43.45363912069444,3.4746972,9.9676948,0,79.2811961,21.9050788,49.7143994,13.4526534,191.4125269,194.6900336,13.1079401,3.486119892138889,47.80587330894444,93.12295337233333,140.92882668127777,11.8045462,133.87534127883333,95.4197484,14.606135,6.5634841,86.8266107,14.4681248,0.9072951,0.220144,1.4870262,93.3134335,0.106911,0.1636201,0.0687796,0.0847505,0.6302934,1.0670722
2025-06-19 04:00:00,34.1818482,5.1483112,0.7550587,0.7617523,16.2216361,4.13421791113016,12.7486242,193.1254028,15.9338109,193.7971122,28.3037686,18.0343557,13.8284533,197.5393155,31.7561505,10.1080651,13.6130936,195.5954698,18.3608966,45.024359,13.9750392,195.8302716,18.9155867,45.0515182,13.9119848,197.3413827,194.7236051,13.1656254,43.74833616761111,3.2929679,9.9685906,0,79.3310687,21.9026323,49.5820262,13.4221555,191.3351574,194.5828725,13.0780572,3.4438227583333334,48.46055907355555,92.85464999041668,141.31520906397222,11.8178385,134.04831227452777,95.9227747,14.6057219,6.5774663,86.9360242,14.4068708,0.9068774,0.219935,1.5256219,93.7902884,0.1067969,0.1627643,0.2982613,0.0844327,0.6345305,1.110772
2025-06-19 05:00:00,33.954418,5.9353754,0.749309,0.7563658,15.900071,4.226299853617969,12.7759423,193.1986992,16.1050552,193.6824678,27.7938126,18.0348186,13.8349556,197.5132347,31.7813459,10.1076685,13.6259452,195.5694736,18.3421055,45.024145,13.9843904,195.8327486,18.9169841,45.049842,13.9220438,197.3348119,194.7531002,13.1814323,43.14249194608333,3.1103037,9.9681995,0,79.369668,21.9056262,49.7581237,13.4464594,191.3273604,194.6390585,13.1029798,3.7143327954166665,48.11770948588889,95.38384233719445,143.50155182308333,11.980525,134.8713257653889,94.9595227,14.6052196,6.6537956,87.1001256,14.5522623,0.9083323,0.2216895,1.5511662,93.4833373,0.1066363,0.1646835,0.3664147,0.084365,0.6322805,1.2168548
2025-06-19 06:00:00,34.0728726,5.8463924,0.7568053,0.7659185,16.3241005,4.162830597903565,12.8049123,193.3102151,15.9617824,193.7822688,28.2891369,18.0347552,13.8749311,197.694353,31.8000739,10.1015723,13.661594,195.7007712,18.3262774,45.0268495,14.0056502,195.9300187,18.8680298,45.1807483,13.955352,197.415749,194.8960828,13.2195806,43.55748725005556,3.1477817,9.9694707,0,79.4161837,21.910989,49.4989817,13.4795724,191.4721736,194.7573423,13.1333342,3.597236500583333,49.04852696244445,92.79106965530555,141.83959661775,11.7408258,133.5513921155,95.7205978,14.6060601,6.5228046,86.7112663,14.4130334,0.8996111,0.2288168,1.5468502,93.5436961,0.1071561,0.1560103,0.1372301,0.0850562,0.6273429,1.2428273
2025-06-19 07:00:00,34.1189384,5.8140791,0.7756437,0.7892301,17.6870865,4.219029352764095,12.7767768,193.2305166,16.180663,193.7362558,28.1020103,18.0414947,13.8649846,197.6257741,31.8275862,10.0900785,13.6470794,195.6680192,18.3759845,45.0321907,13.97561,195.9661874,18.91992,45.691267,13.9528714,197.3554513,194.8214874,13.1940508,43.60678663908333,3.3564298,9.9721947,0,79.6033802,21.9413651,49.5058215,13.4658905,191.5016685,194.6722061,13.1060756,3.2832816397777775,48.582739674833334,95.36606291991667,143.94880259475002,12.1352421,135.9912302817222,95.611365,14.6089604,6.7586683,86.7829026,14.5868716,0.8753683,0.2288113,1.5919203,93.7971831,0.1093776,0.12977,0.4490365,0.0876145,0.6129402,1.0781655
2025-06-19 08:00:00,34.1315449,6.0415241,0.8026395,0.8204476,18.7083588,4.198880583303973,12.7303798,193.0675859,16.0968039,193.6365819,27.8993258,18.5933259,13.8601801,197.5199793,31.8562006,10.0712202,13.6262184,195.5670219,18.3641515,45.031435,13.938,195.9452051,18.9361109,46.0768235,13.9364308,197.3416983,194.6942016,13.1608257,44.046732956666666,3.5002237,9.9779768,0,79.9617103,21.973979,49.5725155,13.4414052,191.4983038,194.5447694,13.0621967,3.2875690376666666,49.504973053916665,93.8093081048611,143.31428115877776,12.0230693,135.45944439702777,95.633108,14.6134325,6.7120055,86.9421626,14.5259176,0.8316725,0.2257434,1.5691533,93.7285786,0.1127256,0.1135743,0.4527737,0.0913094,0.588977,1.1933415
